GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Oahu_AES,1993,180.0
Oahu_Airport_DSG,2013,8.0
Oahu_Battery_Bulk,2020,0.0
Oahu_Battery_Bulk,2023,426.5
Oahu_Battery_Bulk,2025,172.0
Oahu_Battery_Bulk,2030,0.0
Oahu_Battery_Bulk,2035,0.0
Oahu_Battery_Bulk,2040,630.9644195738585
Oahu_Battery_Bulk,2045,255.1965295543946
Oahu_Battery_Bulk,2050,34.096692713128164
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2023,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Conting,2050,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2023,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
Oahu_Battery_Reg,2050,0.0
Oahu_CC_152,2020,0.0
Oahu_CC_152,2023,0.0
Oahu_CC_152,2025,0.0
Oahu_CC_152,2030,0.0
Oahu_CC_152,2035,0.0
Oahu_CC_152,2040,0.0
Oahu_CC_152,2045,0.0
Oahu_CC_152,2050,0.0
Oahu_CIP_CT,2009,113.0
Oahu_CentralTrackingPV_PV_01,2017,27.6
Oahu_CentralTrackingPV_PV_01,2020,0.0
Oahu_CentralTrackingPV_PV_01,2023,0.0
Oahu_CentralTrackingPV_PV_01,2025,0.0
Oahu_CentralTrackingPV_PV_01,2030,244.466085442376
Oahu_CentralTrackingPV_PV_01,2035,0.0
Oahu_CentralTrackingPV_PV_01,2040,0.0
Oahu_CentralTrackingPV_PV_01,2045,0.0
Oahu_CentralTrackingPV_PV_01,2050,0.0
Oahu_CentralTrackingPV_PV_02,2017,5.0
Oahu_CentralTrackingPV_PV_02,2020,5.0
Oahu_CentralTrackingPV_PV_02,2023,0.0
Oahu_CentralTrackingPV_PV_02,2025,0.0
Oahu_CentralTrackingPV_PV_02,2030,0.0
Oahu_CentralTrackingPV_PV_02,2035,0.0
Oahu_CentralTrackingPV_PV_02,2040,0.0
Oahu_CentralTrackingPV_PV_02,2045,0.0
Oahu_CentralTrackingPV_PV_02,2050,0.0
Oahu_CentralTrackingPV_PV_03,2012,1.0
Oahu_CentralTrackingPV_PV_03,2020,0.0
Oahu_CentralTrackingPV_PV_03,2023,0.0
Oahu_CentralTrackingPV_PV_03,2025,0.0
Oahu_CentralTrackingPV_PV_03,2030,0.0
Oahu_CentralTrackingPV_PV_03,2035,0.0
Oahu_CentralTrackingPV_PV_03,2040,0.0
Oahu_CentralTrackingPV_PV_03,2045,0.0
Oahu_CentralTrackingPV_PV_03,2050,0.0
Oahu_CentralTrackingPV_PV_04,2012,5.0
Oahu_CentralTrackingPV_PV_04,2014,5.0
Oahu_CentralTrackingPV_PV_04,2020,0.0
Oahu_CentralTrackingPV_PV_04,2023,236.034665955004
Oahu_CentralTrackingPV_PV_04,2025,0.0
Oahu_CentralTrackingPV_PV_04,2030,0.0
Oahu_CentralTrackingPV_PV_04,2035,0.0
Oahu_CentralTrackingPV_PV_04,2040,0.0
Oahu_CentralTrackingPV_PV_04,2045,0.0
Oahu_CentralTrackingPV_PV_04,2050,0.0
Oahu_CentralTrackingPV_PV_05,2020,20.0
Oahu_CentralTrackingPV_PV_05,2023,14.1890525823313
Oahu_CentralTrackingPV_PV_05,2025,0.0
Oahu_CentralTrackingPV_PV_05,2030,0.0
Oahu_CentralTrackingPV_PV_05,2035,0.0
Oahu_CentralTrackingPV_PV_05,2040,0.0
Oahu_CentralTrackingPV_PV_05,2045,0.0
Oahu_CentralTrackingPV_PV_05,2050,0.0
Oahu_CentralTrackingPV_PV_06,2012,1.0
Oahu_CentralTrackingPV_PV_06,2020,0.0
Oahu_CentralTrackingPV_PV_06,2023,0.0
Oahu_CentralTrackingPV_PV_06,2025,0.0
Oahu_CentralTrackingPV_PV_06,2030,0.0
Oahu_CentralTrackingPV_PV_06,2035,0.0
Oahu_CentralTrackingPV_PV_06,2040,0.0
Oahu_CentralTrackingPV_PV_06,2045,0.0
Oahu_CentralTrackingPV_PV_06,2050,0.0
Oahu_CentralTrackingPV_PV_07,2016,6.5
Oahu_CentralTrackingPV_PV_07,2020,60.6
Oahu_CentralTrackingPV_PV_07,2023,0.0
Oahu_CentralTrackingPV_PV_07,2025,0.0
Oahu_CentralTrackingPV_PV_07,2030,0.0
Oahu_CentralTrackingPV_PV_07,2035,0.0
Oahu_CentralTrackingPV_PV_07,2040,0.0
Oahu_CentralTrackingPV_PV_07,2045,0.0
Oahu_CentralTrackingPV_PV_07,2050,0.0
Oahu_CentralTrackingPV_PV_08,2020,0.0
Oahu_CentralTrackingPV_PV_08,2023,0.0
Oahu_CentralTrackingPV_PV_08,2025,0.0
Oahu_CentralTrackingPV_PV_08,2030,0.0
Oahu_CentralTrackingPV_PV_08,2035,0.0
Oahu_CentralTrackingPV_PV_08,2040,0.0
Oahu_CentralTrackingPV_PV_08,2045,0.0
Oahu_CentralTrackingPV_PV_08,2050,0.0
Oahu_CentralTrackingPV_PV_09,2020,0.0
Oahu_CentralTrackingPV_PV_09,2023,0.0
Oahu_CentralTrackingPV_PV_09,2025,0.0
Oahu_CentralTrackingPV_PV_09,2030,0.0
Oahu_CentralTrackingPV_PV_09,2035,0.0
Oahu_CentralTrackingPV_PV_09,2040,0.0
