gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,Oahu,multiple,2020,1386.818352959468,5305195.349675922,1466377.3352372856,180.0,31331181.826544113,14677622.956780847,37.001241023019986,0.8795144298322346,0.0,0.0
Airport_DSG,Oahu,multiple,2020,0.37755158184319093,6692.016395113142,0.0,8.0,283791.85665925033,67349.46997205736,947.7733910675026,0.005387436955524983,0.0,0.0
Airport_DSG,Oahu,multiple,2023,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2025,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2030,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2035,0.0,0.0,0.0,8.0,283791.85665925033,67349.46997205736,0.0,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2040,1.3495460797799195,23920.399029340642,0.0,8.0,283791.85665925033,67349.46997205736,277.9169465053111,0.019257221458046796,0.0,0.0
Airport_DSG,Oahu,multiple,2045,5.341953232462176,94684.91282447327,0.0,8.0,283791.85665925033,67349.46997205736,83.45753323832334,0.07622650160476849,0.0,0.0
Airport_DSG,Oahu,multiple,2050,2.948115543328752,52254.681212904834,0.0,8.0,283791.85665925033,67349.46997205736,136.83181744930297,0.04206785878037603,0.0,0.0
Battery_Bulk,Oahu,Battery,2020,-1.6177645261071587e-14,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.6177645261071587e-14
Battery_Bulk,Oahu,Battery,2023,-40.3046982692502,0.0,0.0,426.5,12380224.57681377,13137616.597335804,70.34702671821702,0.09709012093316943,403.04698269250184,362.74228442325165
Battery_Bulk,Oahu,Battery,2025,-69.909597347207,0.0,0.0,598.5,16613205.345183283,17629560.830955442,54.42388372589808,0.12000823522368761,699.0959734720698,629.1863761248628
Battery_Bulk,Oahu,Battery,2030,-145.07290822851718,0.0,0.0,598.5,16613205.345183283,17629560.830955442,26.2264804904548,0.24903510184453806,1450.729082285172,1305.656174056655
Battery_Bulk,Oahu,Battery,2035,-168.4733356179704,0.0,0.0,598.5,16613205.345183283,17629560.830955442,22.583703132562107,0.28920475094924025,1684.733356179704,1516.2600205617337
Battery_Bulk,Oahu,Battery,2040,-161.473465125548,0.0,0.0,598.5,10489876.124099448,11131621.22519697,14.877915653190316,0.2771886310391523,1614.7346512554782,1453.2611861299301
Battery_Bulk,Oahu,Battery,2045,-257.24132291873684,0.0,0.0,889.7785278897649,15230439.88794452,16162201.147087881,13.559529186594174,0.29702788066010233,2572.413229187369,2315.171906268632
Battery_Bulk,Oahu,Battery,2050,-135.9241527278852,0.0,0.0,920.2576418413813,15688330.51411676,16648104.407795379,26.43339790198074,0.1517489187465618,1359.2415272788528,1223.3173745509675
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC_152,Oahu,multiple,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2020,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2023,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
CIP_CT,Oahu,multiple,2025,0.0,0.0,0.0,113.0,4008559.9753119107,1694967.0099513936,0.0,0.0,0.0,0.0
