INVESTMENT_PERIOD,period_start,period_end
2020,2020,2021.0
2021,2021,2022.0
2022,2022,2023.0
2023,2023,2024.0
2024,2024,2025.0
2025,2025,2026.0
2026,2026,2027.0
2027,2027,2028.0
2028,2028,2029.0
2029,2029,2030.0
2030,2030,2031.0
2031,2031,2032.0
2032,2032,2033.0
2033,2033,2034.0
2034,2034,2035.0
2035,2035,2036.0
2036,2036,2037.0
2037,2037,2038.0
2038,2038,2039.0
2039,2039,2040.0
2040,2040,2041.0
2041,2041,2042.0
2042,2042,2043.0
2043,2043,2044.0
2044,2044,2045.0
2045,2045,2046.0
2046,2046,2047.0
2047,2047,2048.0
2048,2048,2049.0
2049,2049,2050.0
2050,2050,2051.0
